ticker,n,PearsonVII_win_share,StudentT_win_share,Normal_win_share,median_ΔAIC_t_norm,median_ΔAIC_p7_t
AAPL,6287,1.0,0.0,0.0,-132.69551630877868,-139.61445356589502
ADBE,6287,1.0,0.0,0.0,-268.51373109402266,-257.8428289565636
ADP,6244,1.0,0.0,0.0,-164.77766817986412,-199.2862881090914
AMZN,6288,1.0,0.0,0.0,-289.5360680709018,-252.5502525152824
BA,6288,1.0,0.0,0.0,-85.04850434221407,-100.12052870839216
CAT,6287,1.0,0.0,0.0,-78.42092576249524,-123.2841939223672
CSCO,6287,1.0,0.0,0.0,-366.06491626521347,-281.0249850569162
DE,6288,1.0,0.0,0.0,-127.71616797927163,-151.95937573877927
EMR,6284,1.0,0.0,0.0,-69.08373085773019,-107.08544621894725
ETN,3247,1.0,0.0,0.0,-22.47268871846427,-30.572602117178576
FDX,6287,1.0,0.0,0.0,-103.42140220664442,-138.39213826206105
HON,6285,1.0,0.0,0.0,-90.87787268552165,-108.81078754420196
HPQ,5703,1.0,0.0,0.0,-137.87017677769927,-200.48959856217152
IBM,6286,1.0,0.0,0.0,-254.17388149606086,-249.2774985831038
INTC,6288,1.0,0.0,0.0,-168.3679610475374,-136.45137664605318
MSFT,6288,1.0,0.0,0.0,-158.5376706353636,-162.05770690624195
NOC,6287,1.0,0.0,0.0,-101.9173749131478,-162.14133219330506
NVDA,6288,1.0,0.0,0.0,-130.91847865604177,-143.7960453671203
QCOM,6287,1.0,0.0,0.0,-288.9467870353237,-255.53645593243527
ROK,6284,1.0,0.0,0.0,-135.13998989722495,-159.14740953922592
RTX,1949,1.0,0.0,0.0,-131.28302913446078,-97.403531759016
UNP,6288,1.0,0.0,0.0,-97.46608367711997,-124.80701314976795
UPS,6285,1.0,0.0,0.0,-148.94387288807593,-200.65901027292057
XRX,6280,1.0,0.0,0.0,-187.1768987869891,-204.99629933432334
