ticker,logl,aic,bic,persistence,model,nu,mean,std,skew,kurt,m_hat,sigma_hat,sector
AAPL,-24787.634267407662,49583.26853481533,49610.25476423351,1.0363361608029502,EGARCH_Normal,,,,,,,,
MSFT,-26089.418140928006,52186.83628185601,52213.82187519245,1.1181358093854636,EGARCH_Normal,,,,,,,,
INTC,-27475.735070353847,54959.470140707694,54986.45573404413,1.1068269047711612,EGARCH_Normal,,,,,,,,
CSCO,-23018.64943850397,46045.29887700794,46072.28510642611,1.1568038863354584,EGARCH_Normal,,,,,,,,
IBM,-31041.403730378413,62090.80746075683,62117.793690175,1.1330266268928724,EGARCH_Normal,,,,,,,,
NVDA,-30154.865036692216,60317.73007338443,60344.71566672087,1.1101778440300127,EGARCH_Normal,,,,,,,,
XRX,-26646.626422158697,53301.252844317394,53328.23907373557,1.1131827442858886,EGARCH_Normal,,,,,,,,
ADBE,-34237.79754109054,68483.59508218108,68510.58131159926,0.234105750135117,EGARCH_Normal,,,,,,,,
QCOM,-40250.14584166023,80508.29168332047,80535.27791273865,10.137491723062691,EGARCH_Normal,,,,,,,,
HPQ,-36738.053737130525,73484.10747426105,73511.09370367923,-0.1066040280753071,EGARCH_Normal,,,,,,,,
ADP,-26105.109347627546,52218.21869525509,52245.20492467326,1.1302141672789228,EGARCH_Normal,,,,,,,,
CAT,-33170.16753606964,66348.33507213928,66375.32130155746,1.0958060032694688,EGARCH_Normal,,,,,,,,
DE,-28884.375304388966,57776.75060877793,57803.736838196106,1.5107717036464476,EGARCH_Normal,,,,,,,,
HON,-29216.03301705745,58440.0660341149,58467.05226353307,1.105911167427603,EGARCH_Normal,,,,,,,,
UPS,-66035.96698919532,132079.93397839065,132106.9202078088,0.9993862962873552,EGARCH_Normal,,,,,,,,
FDX,-27667.036810697613,55342.073621395226,55369.0598508134,1.155114808912487,EGARCH_Normal,,,,,,,,
UNP,-33185.9064461911,66379.8128923822,66406.79912180037,1.0547865383338133,EGARCH_Normal,,,,,,,,
BA,-31906.505735905623,63821.01147181125,63847.99770122943,1.2845407302094731,EGARCH_Normal,,,,,,,,
PH,-66554.6126796057,133117.2253592114,133144.21158862958,1.0,EGARCH_Normal,,,,,,,,
EMR,-28233.37245604581,56474.74491209162,56501.731141509794,1.1444183281977105,EGARCH_Normal,,,,,,,,
LMT,-386.7659667031438,783.5319334062876,796.1949308720539,1.2895933876352863,EGARCH_StudentT,4.632504818221512,,,,,,,
MMM,-403.30483771876015,816.6096754375203,829.4314163948595,0.9795615045897904,EGARCH_StudentT,2.6461749599078224,,,,,,,
ORCL,-191.05745866372663,392.1149173274533,400.9209179059212,1.0844051786481854,EGARCH_StudentT,3.715609454086766,,,,,,,
GE,-344.91008614270226,699.8201722854045,711.9143753243875,1.3903145308055933,EGARCH_StudentT,4.632216270226282,,,,,,,
AAPL,-24787.634267407662,49583.26853481533,49610.25476423351,1.03633616080295,EGARCH_StudentT,,,,,,,,
MSFT,-26089.418140928006,52186.83628185601,52213.82187519245,1.1181358093854636,EGARCH_StudentT,,,,,,,,
INTC,-27475.735070353847,54959.470140707694,54986.45573404413,1.1068269047711612,EGARCH_StudentT,,,,,,,,
CSCO,-23018.64943850397,46045.29887700794,46072.28510642611,1.1568038863354582,EGARCH_StudentT,,,,,,,,
IBM,-31041.403730378413,62090.80746075683,62117.793690175,1.1330266268928724,EGARCH_StudentT,,,,,,,,
NVDA,-30154.865036692216,60317.73007338443,60344.71566672087,1.1101778440300123,EGARCH_StudentT,,,,,,,,
XRX,-26646.626422158697,53301.252844317394,53328.23907373557,1.1131827442858886,EGARCH_StudentT,,,,,,,,
ADBE,-34237.79754109054,68483.59508218108,68510.58131159926,0.2341057501351169,EGARCH_StudentT,,,,,,,,
QCOM,-40250.14584166023,80508.29168332047,80535.27791273865,10.137491723062691,EGARCH_StudentT,,,,,,,,
HPQ,-36738.053737130525,73484.10747426105,73511.09370367923,-0.106604028075307,EGARCH_StudentT,,,,,,,,
