ticker,Best_Model,Best_AIC,Best_logL,Best_BIC
AAPL,egarch_normal,49583.26853481533,-24787.634267407662,49610.25476423351
ADBE,egarch_normal,68483.59508218108,-34237.79754109054,68510.58131159926
ADP,egarch_normal,52218.21869525509,-26105.109347627546,52245.20492467326
BA,egarch_normal,63821.01147181125,-31906.505735905623,63847.99770122943
CAT,egarch_normal,66348.33507213928,-33170.16753606964,66375.32130155746
CSCO,egarch_normal,46045.29887700794,-23018.64943850397,46072.28510642611
DE,egarch_normal,57776.75060877793,-28884.375304388966,57803.736838196106
EMR,egarch_normal,56474.74491209162,-28233.37245604581,56501.731141509794
FDX,egarch_normal,55342.073621395226,-27667.036810697613,55369.0598508134
GE,egarch_studentt,699.8201722854045,-344.91008614270226,711.9143753243875
HON,egarch_normal,58440.0660341149,-29216.03301705745,58467.05226353307
HPQ,egarch_normal,73484.10747426105,-36738.053737130525,73511.09370367923
IBM,egarch_normal,62090.80746075683,-31041.403730378413,62117.793690175
INTC,egarch_normal,54959.470140707694,-27475.735070353847,54986.45573404413
LMT,egarch_studentt,783.5319334062876,-386.7659667031438,796.1949308720539
MMM,egarch_studentt,816.6096754375203,-403.30483771876015,829.4314163948595
MSFT,egarch_normal,52186.83628185601,-26089.418140928006,52213.82187519245
NVDA,egarch_normal,60317.73007338443,-30154.865036692216,60344.71566672087
ORCL,egarch_studentt,392.1149173274533,-191.05745866372663,400.9209179059212
PH,egarch_normal,133117.2253592114,-66554.6126796057,133144.21158862958
QCOM,egarch_normal,80508.29168332047,-40250.14584166023,80535.27791273865
UNP,egarch_normal,66379.8128923822,-33185.9064461911,66406.79912180037
UPS,egarch_normal,132079.93397839065,-66035.96698919532,132106.9202078088
XRX,egarch_normal,53301.252844317394,-26646.626422158697,53328.23907373557
