ticker,Best_Model,Best_LogL,Best_AIC,Best_BIC
AAPL,EGARCH_StudentT,-12995.07456454149,26004.14912908298,26051.372804101666
ADBE,EGARCH_StudentT,-13272.359406237303,26558.71881247461,26605.94248749329
ADP,EGARCH_StudentT,-10296.29702074036,20606.594041480723,20653.76967545217
AMZN,EGARCH_StudentT,-13879.115760970222,27772.231521940445,27819.45631027921
BA,EGARCH_StudentT,-12394.903115022124,24803.80623004425,24851.03101838301
CAT,EGARCH_StudentT,-12358.548493352522,24731.096986705044,24778.320661723727
CSCO,EGARCH_StudentT,-12014.900094827404,24043.80018965481,24091.02386467349
DE,EGARCH_StudentT,-12232.899389191123,24479.798778382246,24527.02356672101
EMR,EGARCH_StudentT,-11399.93463491267,22813.86926982534,22861.08960382097
ETN,EGARCH_Normal,-6365.66951780623,12745.33903561246,12787.93744301718
FDX,EGARCH_StudentT,-11924.538612887298,23863.0772257746,23910.30090079328
HON,EGARCH_StudentT,-11123.152687967273,22260.305375934546,22307.526823781714
HPQ,EGARCH_StudentT,-11276.2560961605,22566.512192321003,22613.053425739097
IBM,EGARCH_StudentT,-10421.53481760086,20857.06963520172,20904.29219672322
INTC,EGARCH_StudentT,-12851.000112346224,25716.00022469245,25763.225013031213
MSFT,EGARCH_StudentT,-11440.897574318207,22895.79514863641,22943.01993697518
NOC,EGARCH_StudentT,-10542.146196868136,21098.292393736272,21145.516068754958
NVDA,EGARCH_StudentT,-1044.2698512552845,2102.5397025105685,2149.764490849332
QCOM,EGARCH_StudentT,-13309.706652991968,26633.413305983933,26680.63698100261
ROK,EGARCH_StudentT,-12424.968364305663,24863.936728611327,24911.157062606955
RTX,EGARCH_StudentT,-402.4475856968123,818.8951713936247,857.9206732901775
UNP,EGARCH_StudentT,-11382.241228183684,22778.48245636737,22825.707244706133
UPS,EGARCH_StudentT,-9952.06419963032,19918.12839926064,19965.34984710781
XRX,EGARCH_StudentT,-13474.359045443964,26962.71809088793,27009.933967704168
