ticker,mu,omega,alpha[1],beta[1],beta[2],beta[3],persistence,logL,AIC,BIC,LB_pval_resid,LB_pval_sqresid,convergence_flag
AAPL,0.13597315098520085,0.0409788362828124,0.18255774343865766,0.7149119160688938,1.7202404009994706e-15,0.25827802870566224,1.1557476882132154,-13088.50623140435,26191.0124628087,26238.23613782738,0.014564422276625775,0.715240937491099,0
MSFT,0.046022358252345325,0.02978398411237834,0.17431459185215642,0.6988696821935219,5.371516151245801e-16,0.27430490863235263,1.1474891826780316,-11565.31253340505,23144.6250668101,23191.849855148863,0.01579614323916242,0.7564050755286309,0
INTC,0.024972925612262574,0.03074448499557725,0.1604969533388622,0.780374787126952,0.0,0.20010421676282722,1.1409759572286413,-12984.507043306961,25983.014086613923,26030.238874952687,0.129101657185212,0.7881812225670304,0
CSCO,0.02713770371593293,0.028257948472883772,0.1379554214229571,0.5405943369688843,0.29817302409251395,0.14088103180313577,1.117603814287491,-12274.856461471214,24563.712922942428,24610.93659796111,0.5579459541021777,0.9616363346328738,0
IBM,0.021670139337562223,0.02217009991383352,0.14448499544906862,0.9420833224014986,0.0,0.029769161509480307,1.1163374793600476,-10632.504285065197,21279.008570130394,21326.231131651897,0.08063821630890207,0.9797591117801947,0
AMZN,0.11351027277524287,0.046934465914211555,0.1956962206569535,0.5320907736815719,0.06303634872867804,0.3818431395219735,1.1726664825891768,-14117.052265379023,28248.104530758046,28295.32931909681,0.3699089167794231,0.8840337639253321,0
NVDA,0.013388517273375035,-0.040195266506067834,0.14453116586206283,0.8723939247108062,1.5139441889257114e-17,0.10934265921509272,1.1262677497879618,-1149.9222407263007,2313.8444814526015,2361.0692697913646,0.4967952244449838,0.5569396405567579,0
XRX,-0.016652415021924567,0.032191396983249534,0.1397899104319093,0.490990608881142,0.11686175802092114,0.37487289610434604,1.1225151734383185,-13623.623639292979,27261.247278585957,27308.463155402194,0.34606698763648025,0.5699876523667459,0
ADBE,0.06384724287845568,0.02921638546044411,0.11643529523214086,0.872715110786704,3.994145633013567e-15,0.1108218439749841,1.099972249993833,-13464.232089564495,26942.46417912899,26989.687854147673,0.19787670071698352,0.26219405989026234,0
QCOM,0.0200696119684097,0.06490632980453981,0.2297622224825975,0.6774655360285271,3.028570698385742e-17,0.2857506626251939,1.1929784211363186,-13522.10332963271,27058.20665926542,27105.4303342841,0.010371914944519249,0.5080742280109721,0
HPQ,0.04570185224951315,0.05933018027499561,0.20010041900949418,0.48812813731336246,0.0066524381034998485,0.46183944440526076,1.1567204388316172,-11410.553203805151,22835.106407610303,22881.647641028398,0.2983716977741516,0.46722109370356135,0
ADP,0.0328117834041356,0.015610200660809497,0.12726651281138582,0.8755100742605725,1.3271305704386173e-15,0.10398366924589224,1.1067602563178518,-10422.007774573272,20858.015549146545,20905.191183117993,0.00033698653952591304,0.8458630641079383,0
RTX,0.008876061038204985,-0.008025154368310134,0.1373531994036261,0.7045673016941281,0.0,0.2904842448606168,1.132404745958371,-493.19892853742897,1000.3978570748579,1039.4233589714108,0.007542943327121147,0.9757425158650768,0
ETN,0.052574878448452746,0.02957582452968742,0.12206867774943887,0.761041034324301,0.0011321074975816482,0.21250926556296804,1.0967510851342896,-6365.66951780623,12745.33903561246,12787.93744301718,0.012935923325605574,0.57907010111017,0
DE,0.049247413797204126,0.020687121648488474,0.10983906848403151,0.7861560527016013,1.836325127818941e-10,0.19880665452351062,1.094801775892776,-12336.684659302919,24687.369318605837,24734.5941069446,0.48451793717288294,0.5271288626641529,0
HON,0.03545645839788428,0.020273332460664952,0.1751960604451938,0.5594460969857454,0.039500102548823135,0.38013884848251533,1.1542811084622777,-11159.117741709983,22332.235483419965,22379.456931267134,0.4353689388614481,0.26394970807341805,0
UPS,0.009517751747830362,0.01751965542696356,0.1802422582644346,0.7365397057676328,7.102486337381753e-14,0.2390977988954586,1.155879762927597,-10078.92158874193,20171.84317748386,20219.06462533103,0.49731374329490485,0.10181216552071481,0
FDX,0.027144725481332076,0.018597723844973525,0.1003585183980928,0.7392673262721573,0.0,0.2453448964465062,1.0849707411167564,-11992.234085018863,23998.468170037726,24045.691845056408,0.42474830050566015,0.5439769650032561,0
UNP,0.03701043470040574,0.02191397954377397,0.1352271806179986,0.5939287096365296,0.2104811054728795,0.17424609146715297,1.1138830871945606,-11454.9021558039,22923.8043116078,22971.029099946565,0.04097016249797887,0.29741520668991334,0
BA,0.05686377023962334,0.029354050215913564,0.1620936575127796,0.6777758281033719,0.18641852015385346,0.11360261821566114,1.139890623985666,-12459.568043262638,24933.136086525275,24980.36087486404,0.6830174578072898,0.2966861944450922,0
NOC,0.059771719312944616,0.018850721611365716,0.16929436941297382,0.7428015337583218,5.2168251817767916e-18,0.23467400946452932,1.146769912635825,-10650.282086287258,21314.564172574515,21361.787847593198,0.3147572829153505,0.49642343289811963,0
ROK,0.060167083102680985,0.03677987188457059,0.1369276664096698,0.725055396784711,0.0,0.2472869124653972,1.1092699756597781,-12518.366263047514,25050.732526095027,25097.952860090656,0.02461836049999727,0.1476535060724325,0
EMR,0.012329043586285175,0.012382191034308725,0.06889427515121303,0.9878726345795367,0.0,4.358432683362741e-16,1.0567669097307502,-11415.987006763056,22845.974013526113,22893.19434752174,0.01781647456711785,0.0598911103898792,0
CAT,0.04774161513511825,0.02287686397179303,0.0939687190949162,0.783861777217909,0.19857579389758237,0.0,1.0764062902104075,-12424.52421658795,24863.0484331759,24910.272108194582,0.2135092548792128,0.9465869247496826,0
