ticker,regime,boot_id,n,AIC_Normal,BIC_Normal,logL_Normal,AIC_StudentT,BIC_StudentT,logL_StudentT,nu_hat,AIC_PearsonVII,BIC_PearsonVII,logL_PearsonVII,m_hat,scale_hat,Best_AIC
AAPL,Low,1,2105,5952.343227394491,5952.343227394491,-2976.1716136972454,5929.269560361299,5934.921631107416,-2963.6347801806496,19.421006002242596,5890.886422673888,5902.190564166121,-2943.443211336944,4.088138109531059,2.272866107488072,PearsonVII
AAPL,Low,2,2105,5951.828972316034,5951.828972316034,-2975.914486158017,5864.99270688027,5870.644777626387,-2931.496353440135,12.22948351284569,5754.468309358198,5765.772450850431,-2875.234154679099,2.872614402678822,1.657612548130098,PearsonVII
AAPL,Low,3,2105,5933.049339184939,5933.049339184939,-2966.5246695924693,5864.135423648634,5869.787494394751,-2931.067711824317,12.701467703981589,5756.7441363258695,5768.048277818102,-2876.3720681629347,2.900191370818781,1.6724914660812396,PearsonVII
AAPL,Low,4,2105,5943.063481062079,5943.063481062079,-2971.5317405310393,5875.163735237638,5880.815805983755,-2936.581867618819,12.984920648645087,5777.379015898576,5788.683157390808,-2886.689507949288,2.9924296703946727,1.7270116758126621,PearsonVII
AAPL,Low,5,2105,5936.004295600116,5936.004295600116,-2968.002147800058,5872.068836227023,5877.72090697314,-2935.0344181135115,13.042506874529765,5772.37774081327,5783.681882305503,-2884.188870406635,2.9749028743234853,1.7162551000600876,PearsonVII
AAPL,Medium,1,2067,5735.474271678184,5735.474271678184,-2867.737135839092,5684.882223787661,5690.516077347343,-2841.4411118938306,14.03867026636349,5541.753348493833,5553.021055613197,-2768.8766742469165,2.5552444092444344,1.4504917499897692,PearsonVII
AAPL,Medium,2,2067,5822.4739879127155,5822.4739879127155,-2911.2369939563578,5769.503398493212,5775.137252052894,-2883.751699246606,14.194187657668305,5683.1085611273575,5694.376268246721,-2839.5542805636787,3.0413762564733133,1.755387793985088,PearsonVII
AAPL,Medium,3,2067,5824.463877939304,5824.463877939304,-2912.231938969652,5777.551791572225,5783.185645131906,-2887.7758957861124,14.575179467964876,5697.123108641129,5708.390815760493,-2846.5615543205645,3.10710047420061,1.793531947516249,PearsonVII
AAPL,Medium,4,2067,5785.359319047413,5785.359319047413,-2892.6796595237065,5714.892291653903,5720.526145213585,-2856.4461458269516,13.181839806269723,5587.13706244517,5598.404769564534,-2791.568531222585,2.6648441040829454,1.525409693639257,PearsonVII
AAPL,Medium,5,2067,5769.627859188457,5769.627859188457,-2884.8139295942283,5727.113487655894,5732.747341215575,-2862.556743827947,14.887036438728492,5617.467246359661,5628.734953479025,-2806.7336231798304,2.7595171558203675,1.58646424167493,PearsonVII
AAPL,High,1,2069,5835.794430099644,5835.794430099644,-2917.897215049822,5809.6354855062245,5815.27030618397,-2903.8177427531123,17.480511848317494,5754.567518849299,5765.83716020479,-2875.2837594246494,3.4853005181896055,1.994751223334307,PearsonVII
AAPL,High,2,2069,5683.1479089644145,5683.1479089644145,-2841.5739544822072,5643.6606782783,5649.295498956046,-2820.83033913915,15.12143537406734,5473.0561219708525,5484.325763326344,-2734.5280609854262,2.4094480341491145,1.3457219898324868,PearsonVII
AAPL,High,3,2069,5823.213011161495,5823.213011161495,-2911.6065055807476,5788.076937511206,5793.7117581889515,-2893.038468755603,15.776660958692968,5714.9217345412835,5726.191375896775,-2855.4608672706418,3.1832669597708296,1.8356682646199225,PearsonVII
AAPL,High,4,2069,5847.542601367509,5847.542601367509,-2923.7713006837544,5819.980914920468,5825.615735598214,-2908.990457460234,17.716935452026746,5772.586993736511,5783.856635092003,-2884.2934968682557,3.7354666360275597,2.1147251361003123,PearsonVII
AAPL,High,5,2069,5825.861540423433,5825.861540423433,-2912.9307702117167,5799.568085723824,5805.20290640157,-2898.784042861912,18.03102316935285,5743.961271283513,5755.230912639005,-2869.9806356417566,3.479681423274404,1.987107715655112,PearsonVII
